City,Latitude,Longitude,Country,Temperate (°C),Humidity (%),Cloudiness (%),windspeed (m/s)
Kichera,55.94,110.1,RU,16.36,47,16,4.07
Sawtell,-30.38,153.1,AU,16.48,67,40,8.2
Ugoofaaru,5.67,73.0,MV,29.23,73,92,4.97
Macomer,40.26,8.77,IT,24.6,73,40,3.6
Moen,69.13,18.61,NO,17.0,72,100,5.1
Narrabri,-30.32,149.78,AU,15.57,55,0,4.6
Carnduff,49.17,-101.8,CA,15.0,88,0,1.79
Santa Inês,-3.67,-45.38,BR,20.95,97,15,0.71
Pāli,25.77,73.33,IN,38.68,36,85,2.69
Tessalit,20.2,1.01,ML,33.34,27,0,2.34
North Bend,43.41,-124.22,US,13.78,100,90,3.1
Danville,36.59,-79.39,US,23.11,88,90,1.8
Badou,7.58,0.6,TG,24.13,81,93,1.21
Hlotse,-28.87,28.05,LS,12.3,30,0,0.15
Palmer,42.16,-72.33,US,15.87,82,90,2.6
Atbasar,51.8,68.33,KZ,29.55,43,100,7.46
Laas,46.62,10.7,IT,13.5,81,75,2.6
Sakaiminato,35.55,133.23,JP,25.0,78,75,7.2
Korla,41.76,86.15,CN,34.58,14,7,2.53
Khovd,48.01,91.64,MN,23.06,29,0,4.19
Popova,42.96,131.72,RU,22.0,78,90,5.0
Roseburg,43.22,-123.34,US,22.0,49,1,3.1
Camalú,30.85,-116.07,MX,18.98,86,0,2.59
Catarman,12.5,124.64,PH,29.9,72,82,3.63
Óbidos,-1.92,-55.52,BR,23.26,88,96,1.74
Caluquembe,-13.78,14.68,AO,14.14,42,20,6.48
Basco,20.45,121.97,PH,29.57,79,100,4.2
Cape Canaveral,28.41,-80.6,US,26.58,88,1,3.37
Luganville,-15.53,167.17,VU,24.45,85,96,3.61
San Juan,-31.54,-68.54,AR,7.62,57,0,1.56
Kalaiya,27.03,85.0,NP,34.55,54,75,3.93
Kahului,20.89,-156.47,US,24.53,69,20,4.1
Gulmarg,34.05,74.39,IN,22.25,47,67,1.23
Haldībāri,26.33,88.77,IN,34.19,56,71,3.05
Marawi,8.0,124.29,PH,24.3,85,94,2.28
San Isidro,-12.12,-77.05,PE,15.0,82,90,1.0
Cohoes,42.77,-73.7,US,15.88,82,90,2.6
Tūkrah,32.53,20.58,LY,27.33,62,1,4.25
Pecos,31.42,-103.49,US,29.0,39,1,3.6
Cruzília,-21.84,-44.81,BR,11.08,94,6,0.4
Rameswaram,9.28,79.3,IN,28.94,73,100,4.15
Barinas,8.62,-70.21,VE,21.39,90,1,1.03
San Andrés,12.58,-81.7,CO,28.0,78,40,4.6
Helong,42.54,129.0,CN,26.5,72,94,1.04
Silopi,37.25,42.47,TR,37.0,18,0,4.6
Lagunas,-5.23,-75.68,PE,20.84,97,57,0.9
Shatalovo,54.33,32.45,RU,18.98,75,10,3.28
Tuatapere,-46.13,167.68,NZ,3.89,83,16,1.34
La Trinidad,16.45,120.59,PH,22.55,94,83,1.22
Algiers,36.75,3.04,DZ,24.0,69,20,4.29
Östersund,63.18,14.64,SE,17.0,72,100,5.1
Lagoa,39.05,-27.98,PT,20.75,74,100,5.68
Mungaoli,24.42,78.1,IN,35.07,42,66,2.99
Eguia,15.91,119.89,PH,30.45,71,80,2.34
Kismayo,-0.36,42.55,SO,27.3,63,100,11.63
Vila Velha,-20.33,-40.29,BR,18.17,93,75,1.0
Mbengwi,6.02,10.0,CM,17.6,94,100,0.05
Kiunga,-6.12,141.29,PG,25.47,93,100,0.84
Progreso,21.28,-89.67,MX,27.0,78,20,2.6
Codajás,-3.84,-62.06,BR,22.38,87,91,0.34
Ulaangom,49.98,92.07,MN,25.86,33,20,3.04
Amoy,24.48,118.08,CN,36.0,56,40,5.0
Samaná,19.21,-69.34,DO,24.97,86,8,2.05
Bilma,18.69,12.92,NE,34.4,28,0,2.6
São João da Barra,-21.64,-41.05,BR,19.42,76,94,2.23
Micheweni,-4.97,39.83,TZ,25.51,56,73,10.65
La Ronge,55.1,-105.28,CA,13.0,87,40,1.0
Tucuruí,-3.77,-49.67,BR,21.36,95,0,1.07
Kiryat Gat,31.61,34.76,IL,28.03,58,0,0.45
Udachny,66.42,112.4,RU,18.0,52,75,5.0
Dawson Creek,55.77,-120.24,CA,15.0,72,75,1.5
Argayash,55.49,60.88,RU,34.0,28,0,5.0
Angoche,-16.23,39.91,MZ,22.63,73,100,8.65
Olafsvik,64.89,-23.71,IS,7.82,81,100,14.59
Reconquista,-29.15,-59.65,AR,9.46,98,34,2.4
Villamontes,-21.25,-63.5,BO,15.8,73,0,0.43
Lusambo,-4.97,23.45,CD,27.94,27,96,3.1
Caravelas,-17.71,-39.25,BR,20.69,81,58,3.22
Kosh-Agach,50.0,88.67,RU,22.4,35,0,0.43
Dalvik,65.97,-18.53,IS,7.0,87,90,18.0
Eirunepé,-6.66,-69.87,BR,21.19,89,2,0.62
Garissa,-0.45,39.64,KE,29.63,31,90,11.94
Kunming,25.04,102.72,CN,21.08,100,90,6.0
Luwuk,-0.95,122.79,ID,28.08,72,96,1.91
Japura,-0.32,102.35,ID,32.7,53,59,1.17
Susanville,40.42,-120.65,US,19.1,40,1,3.1
Verāval,20.9,70.37,IN,30.4,74,36,3.8
Acapulco de Juárez,16.86,-99.89,MX,27.19,72,93,1.7
Dwārka,22.24,68.97,IN,32.27,67,21,0.91
Buala,-8.14,159.59,SB,27.25,77,100,1.89
Pangody,65.85,74.49,RU,18.35,45,3,2.34
Kuytun,54.34,101.5,RU,18.74,77,52,4.16
Hobyo,5.35,48.53,SO,29.01,54,99,11.08
Honiara,-9.43,159.95,SB,29.0,74,75,2.6
Kuito,-12.38,16.93,AO,11.0,57,0,7.7
Polunochnoye,60.87,60.42,RU,27.94,57,93,1.05
Cañon City,38.44,-105.24,US,20.1,49,1,9.8
Chintamani,13.4,78.07,IN,24.99,78,75,8.7
Aklavik,68.22,-135.01,CA,12.0,76,20,2.6
