City,Latitude,Longitude,Country,Temperate (°C),Min Temp(°C),Max Temp(°C),Humidity,Cloudiness,windspeed
Voznesenskoye,54.89,42.76,RU,24.88,24.88,24.88,74,24,4.56
Bastrop,32.76,-91.87,US,24.62,24.0,26.0,100,1,1.65
Muros,42.78,-9.06,ES,17.78,17.78,17.78,76,75,2.68
Gien,47.69,2.63,FR,16.11,16.11,16.11,66,61,2.24
Yagodnoye,62.55,149.67,RU,25.19,25.19,25.19,41,100,2.1
Koróni,36.8,21.95,GR,26.16,25.0,27.22,69,40,1.57
Maputo,-25.97,32.59,MZ,14.91,11.67,16.67,38,0,1.0
Birao,10.28,22.79,CF,22.73,22.73,22.73,89,84,3.49
Dvinskoy,62.15,45.12,RU,14.81,14.81,14.81,98,100,1.93
Vostok,46.49,135.88,RU,20.64,20.64,20.64,93,76,1.15
Menongue,-14.66,17.69,AO,8.67,8.67,8.67,49,0,1.34
Tibati,6.47,12.63,CM,19.42,19.42,19.42,96,100,1.28
North Amityville,40.7,-73.43,US,23.35,21.11,25.56,53,90,1.5
Port Blair,11.67,92.75,IN,28.79,28.79,28.79,76,85,5.8
Chu,43.6,73.76,KZ,33.91,33.91,33.91,17,41,8.25
Tilichiki,60.47,166.1,RU,11.76,11.76,11.76,87,56,4.17
Mossamedes,-15.2,12.15,AO,16.64,16.64,16.64,79,0,0.36
Buraidah,26.33,43.98,SA,34.0,34.0,34.0,34,0,8.7
Mudgee,-32.59,149.59,AU,14.17,14.0,14.44,54,90,5.7
Zatoka,46.07,30.47,UA,19.0,19.0,19.0,52,0,7.0
Novyy Urgal,51.07,132.56,RU,32.27,32.27,32.27,41,11,0.67
Dzhebariki-Khaya,62.22,135.8,RU,28.65,28.65,28.65,47,43,2.8
Hamilton,39.18,-84.53,US,19.21,17.22,21.11,93,1,1.39
Alyangula,-13.85,136.42,AU,23.76,23.76,23.76,66,52,5.98
Ketchikan,55.34,-131.65,US,14.0,14.0,14.0,87,90,4.6
Mount Isa,-20.73,139.5,AU,23.0,23.0,23.0,13,50,4.6
Kula,38.55,28.65,TR,21.67,21.67,21.67,46,0,2.68
Vuktyl,63.86,57.31,RU,17.09,17.09,17.09,47,68,1.92
Calvinia,-31.47,19.78,ZA,2.89,2.89,2.89,92,99,6.69
Vestmannaeyjar,63.44,-20.27,IS,11.03,11.03,11.03,88,100,6.07
Gorontalo,0.54,123.06,ID,29.12,29.12,29.12,76,10,2.41
Mocuba,-16.84,36.99,MZ,19.11,19.11,19.11,72,0,1.34
Esperanza,19.58,-70.98,DO,27.22,27.22,27.22,84,31,1.79
Touros,-5.2,-35.46,BR,20.0,20.0,20.0,94,0,2.1
Beloha,-25.17,45.05,MG,19.34,19.34,19.34,70,10,1.55
Bamiantong,44.93,130.53,CN,28.35,28.35,28.35,44,0,2.25
Mokrousovo,55.81,66.77,RU,28.01,28.01,28.01,61,22,0.63
Mount Gambier,-37.83,140.77,AU,13.0,13.0,13.0,71,40,3.6
Faanui,-16.48,-151.75,PF,26.28,26.28,26.28,82,45,4.72
Zhezkazgan,47.8,67.71,KZ,30.0,30.0,30.0,22,0,10.0
Şabrātah,32.79,12.49,LY,27.05,27.05,27.05,38,0,1.75
Voh,-20.97,164.7,NC,23.32,23.32,23.32,68,98,0.8
Surat,21.17,72.83,IN,30.32,30.32,30.32,71,97,6.79
Nortelândia,-14.45,-56.8,BR,22.76,22.76,22.76,50,0,1.29
Bariloche,-41.15,-71.31,AR,-3.0,-3.0,-3.0,79,40,1.5
Derzhavīnsk,51.1,66.32,KZ,28.12,28.12,28.12,35,0,3.9
Pontianak,-0.03,109.33,ID,28.9,28.9,28.9,72,98,3.34
Vila Franca do Campo,37.72,-25.43,PT,18.0,18.0,18.0,88,20,2.6
Kerewan,13.49,-16.09,GM,25.0,25.0,25.0,94,40,3.6
Beringovskiy,63.05,179.32,RU,11.0,11.0,11.0,86,41,2.17
Solnechnyy,50.72,136.63,RU,25.59,25.59,25.59,42,9,2.7
Province of Mantua,45.17,10.78,IT,20.39,20.0,20.56,64,10,2.24
Ust'-Omchug,61.15,149.63,RU,25.18,25.18,25.18,42,98,3.81
Kapit,2.02,112.93,MY,30.08,30.08,30.08,62,100,1.64
Pangkalanbuun,-2.68,111.62,ID,28.25,28.25,28.25,85,74,1.77
Bonaventure,48.05,-65.49,CA,13.82,13.33,14.0,100,90,3.6
Urusha,54.05,122.9,RU,31.63,31.63,31.63,34,51,1.75
Catemaco,18.42,-95.12,MX,22.97,22.97,22.97,75,23,0.28
Nelson Bay,-32.72,152.15,AU,15.5,14.0,16.67,87,75,8.2
Akureyri,65.68,-18.09,IS,10.0,10.0,10.0,93,90,1.0
Fukuechō,32.69,128.84,JP,24.0,24.0,24.0,78,75,2.6
Ojinaga,29.57,-104.42,MX,32.16,31.11,33.0,14,1,1.5
Sibolga,1.74,98.78,ID,30.21,30.21,30.21,58,100,2.38
Terra Nova,-12.37,-40.67,BR,16.03,16.03,16.03,98,90,0.58
Chërnaya Kholunitsa,58.85,51.72,RU,23.72,23.72,23.72,75,84,4.33
Namatanai,-3.67,152.43,PG,28.54,28.54,28.54,71,100,3.23
Maniitsoq,65.42,-52.9,GL,6.11,6.11,6.11,86,21,6.16
Vallenar,-28.57,-70.76,CL,13.28,13.28,13.28,61,0,0.2
Humberto de Campos,-2.6,-43.46,BR,22.97,22.97,22.97,93,52,1.4
Westport,41.14,-73.36,US,21.9,20.0,23.0,69,20,3.1
Zaozyornoye,45.16,33.28,UA,19.72,19.72,19.72,63,86,7.55
Gangāpur,26.48,76.72,IN,38.37,38.37,38.37,33,77,5.88
Tegul'det,57.31,88.17,RU,26.13,26.13,26.13,49,19,3.21
Bairiki Village,1.33,172.98,KI,30.0,30.0,30.0,66,75,1.5
Portland,45.52,-122.68,US,18.13,16.67,20.0,63,1,5.1
Nishihara,26.18,127.76,JP,31.66,30.0,33.0,66,75,7.7
Waingapu,-9.66,120.26,ID,28.15,28.15,28.15,62,32,8.6
Mūdbidri,13.08,74.98,IN,25.0,25.0,25.0,94,75,2.6
Balikpapan,-1.27,116.83,ID,30.38,30.38,30.38,62,25,1.52
Arkhangelsk,64.54,40.54,RU,13.0,13.0,13.0,100,75,2.0
Ondjiva,-17.07,15.73,AO,7.2,7.2,7.2,43,0,1.87
Jinchang,38.5,102.17,CN,29.46,29.46,29.46,26,23,5.87
Mayo,38.89,-76.51,US,22.18,20.0,25.0,73,20,2.06
Darhan,49.49,105.92,MN,28.96,28.96,28.96,42,80,1.46
Prince Rupert,54.32,-130.32,CA,15.0,15.0,15.0,67,90,0.6
Waitara,-38.92,174.25,NZ,9.44,9.44,9.44,92,94,2.68
Apiaí,-24.51,-48.84,BR,15.22,15.22,15.22,100,76,0.4
Naryan-Mar,67.67,53.09,RU,11.37,11.37,11.37,68,94,2.38
Khorixas,-20.37,14.97,NA,9.85,9.85,9.85,37,0,2.62
Dali,25.7,100.18,CN,23.79,23.79,23.79,59,97,2.3
Maumere,-8.62,122.21,ID,27.88,27.88,27.88,60,1,2.68
Mīnāb,27.15,57.08,IR,36.0,36.0,36.0,60,40,6.2
Coahuayana Viejo,18.73,-103.68,MX,25.21,25.21,25.21,81,76,1.28
Oktyabr'skiy,54.48,53.47,RU,27.95,27.95,27.95,65,56,3.85
Kavieng,-2.57,150.8,PG,29.03,29.03,29.03,69,84,3.39
San Patricio,19.22,-104.7,MX,25.83,25.83,25.83,81,77,1.4
Walvis Bay,-22.96,14.51,NA,8.9,7.0,11.11,100,90,1.5
Tsabong,-26.02,22.4,BW,2.77,2.77,2.77,86,0,6.56
Rio Grande,-32.03,-52.1,BR,1.67,1.67,1.67,89,0,6.44
Gordeyevka,52.96,31.97,RU,12.7,12.7,12.7,88,100,6.28
Matara,5.95,80.54,LK,30.39,30.39,30.39,67,100,5.04
Nuquí,5.71,-77.27,CO,25.11,25.11,25.11,85,100,1.26
Marabu,4.41,114.01,MY,30.52,30.0,31.0,70,40,3.1
Chincha Alta,-13.41,-76.13,PE,15.27,15.0,15.56,93,90,0.27
Port Said,31.26,32.28,EG,26.0,26.0,26.0,78,40,1.5
Mehamn,71.04,27.85,NO,8.0,8.0,8.0,87,75,3.1
Port Hedland,-20.32,118.57,AU,28.0,28.0,28.0,26,0,5.1
Alcains,39.92,-7.46,PT,22.86,20.56,24.44,43,44,1.79
Hebi,35.9,114.19,CN,28.33,28.33,28.33,60,99,5.36
Samfya,-11.36,29.56,ZM,16.22,16.22,16.22,63,1,3.85
Bull Savanna,17.89,-77.59,JM,25.04,25.04,25.04,84,8,1.64
Zabaykal'sk,49.63,117.32,RU,26.96,26.96,26.96,48,100,4.39
Gravdal,68.12,13.5,NO,13.0,13.0,13.0,82,40,5.1
Ambāgarh Chauki,20.78,80.72,IN,26.92,26.92,26.92,80,99,2.66
Hermosillo,29.07,-110.97,MX,30.97,30.0,31.67,53,77,0.45
Muhafazat Lahij,13.17,44.58,YE,30.32,30.32,30.32,59,65,2.8
Teluk Nibung,3.0,99.82,ID,30.25,30.25,30.25,63,100,3.58
Caparrapí,5.35,-74.49,CO,16.31,16.31,16.31,100,83,1.49
Fairbanks,64.84,-147.72,US,15.67,13.89,18.0,59,90,2.6
Sambava,-14.27,50.17,MG,23.23,23.23,23.23,62,46,3.29
Cabra,37.47,-4.44,ES,23.89,23.89,23.89,55,0,1.4
Avera,33.19,-82.53,US,23.78,23.0,25.0,94,40,1.5
Maxixe,-23.86,35.35,MZ,16.82,16.67,17.0,72,0,5.26
Richards Bay,-28.78,32.04,ZA,18.21,18.21,18.21,67,5,3.6
Abomsa,9.98,39.98,ET,26.0,26.0,26.0,48,91,2.44
Changping,40.22,116.22,CN,35.72,33.0,37.22,43,20,3.0
Suoyarvi,62.08,32.35,RU,16.95,16.95,16.95,59,0,2.45
Kizema,61.11,44.83,RU,19.19,19.19,19.19,95,99,1.36
Sojat,25.92,73.67,IN,35.22,35.22,35.22,45,18,3.01
Sadovoye,47.78,44.51,RU,24.28,24.28,24.28,62,100,4.65
Tambun,-6.26,107.07,ID,27.33,26.67,28.0,83,40,2.1
Poum,-20.23,164.02,NC,23.52,23.52,23.52,77,73,6.7
Masuguru,-11.37,38.42,TZ,22.81,22.81,22.81,66,54,2.4
Caravelas,-17.71,-39.25,BR,20.22,20.22,20.22,92,50,1.46
Nara,34.69,135.8,JP,25.02,24.0,26.0,78,75,4.1
Māngrol,21.12,70.12,IN,29.59,29.59,29.59,75,95,7.45
Palaia Fokaia,37.72,23.95,GR,23.93,23.89,24.0,53,0,7.7
Arroio dos Ratos,-30.08,-51.73,BR,8.29,5.56,9.44,66,0,2.6
Piaçabuçu,-10.41,-36.43,BR,22.91,22.91,22.91,88,19,2.69
Dhidhdhoo,6.88,73.1,MV,29.25,29.25,29.25,71,92,3.53
Talcahuano,-36.72,-73.12,CL,6.0,6.0,6.0,87,2,2.6
San Luis Potosí,22.5,-100.5,MX,19.36,17.0,22.78,59,5,3.1
Lubango,-14.92,13.49,AO,13.0,13.0,13.0,36,0,1.88
Salinópolis,-0.61,-47.36,BR,25.41,25.41,25.41,86,19,4.16
Savonlinna,61.87,28.88,FI,14.0,14.0,14.0,67,57,3.1
Moisei,47.66,24.54,RO,14.41,14.41,14.41,56,0,0.78
Rocky Mountain House,52.37,-114.92,CA,10.75,10.75,10.75,59,97,3.64
Raahe,64.68,24.48,FI,12.93,12.78,13.0,93,75,1.5
Orcopampa,-15.27,-72.34,PE,5.44,5.44,5.44,55,1,1.16
Lithakia,37.72,20.83,GR,25.0,25.0,25.0,69,20,2.74
Nanning,22.82,108.32,CN,35.0,35.0,35.0,53,40,1.0
Piney Green,34.72,-77.32,US,22.13,20.56,23.89,94,1,2.1
Erzin,36.96,36.2,TR,27.78,27.78,27.78,82,26,2.01
Arinos,-15.92,-46.11,BR,15.3,15.3,15.3,52,3,0.63
Bambari,5.77,20.68,CF,21.22,21.22,21.22,96,100,1.13
Shenjiamen,29.96,122.3,CN,25.47,25.47,25.47,84,99,3.01
Dongli,23.57,116.82,CN,38.0,38.0,38.0,47,20,1.0
Naze,28.37,129.48,JP,32.02,31.0,33.0,63,75,6.2
Bay Roberts,47.6,-53.26,CA,16.23,15.56,16.67,1,64,4.45
Paldiski,59.36,24.05,EE,15.27,15.0,15.56,72,40,1.0
Filingué,14.35,3.32,NE,29.03,29.03,29.03,64,98,6.13
Hobe Sound,27.06,-80.14,US,27.44,26.67,28.0,83,1,2.1
Humaitá,-7.51,-63.02,BR,22.65,22.65,22.65,90,34,0.72
Smithers,54.78,-127.17,CA,12.0,12.0,12.0,66,1,1.0
Mwingi,-0.93,38.06,KE,21.05,21.05,21.05,59,45,3.38
Altamont,42.21,-121.74,US,16.87,15.56,18.0,48,1,3.6
Elbistan,38.21,37.2,TR,21.29,21.29,21.29,46,0,0.88
Rocha,-34.48,-54.33,UY,3.19,3.19,3.19,76,0,5.06
Acaraú,-2.89,-40.12,BR,23.68,23.68,23.68,83,44,5.7
Kulhudhuffushi,6.62,73.07,MV,29.21,29.21,29.21,70,66,3.08
Pandan,14.05,124.17,PH,31.02,31.02,31.02,66,42,1.93
Itarema,-2.92,-39.92,BR,23.73,23.73,23.73,83,32,5.36
Margate,51.38,1.39,GB,16.75,16.11,17.22,88,100,0.45
Mbale,1.08,34.17,UG,20.76,20.76,20.76,76,98,0.55
Suez,29.97,32.53,EG,25.88,25.88,25.88,62,0,2.91
Pemangkat,1.17,108.97,ID,24.99,24.99,24.99,89,100,2.91
Maraã,-1.83,-65.37,BR,21.98,21.98,21.98,96,35,0.92
Neyshabur,36.21,58.8,IR,30.45,30.45,30.45,18,2,1.13
Paine,-33.82,-70.75,CL,7.0,7.0,7.0,93,4,1.0
Okakarara,-20.58,17.43,NA,5.59,5.59,5.59,47,0,1.51
Roald,62.58,6.13,NO,12.41,11.67,13.0,82,75,1.5
Lukulu,-14.37,23.24,ZM,11.62,11.62,11.62,44,0,2.16
Hualmay,-11.1,-77.61,PE,15.72,15.72,15.72,87,1,3.19
Berdigestyakh,62.1,126.7,RU,28.58,28.58,28.58,32,0,2.88
Alofi,-19.06,-169.92,NU,22.0,22.0,22.0,60,46,6.2
Navsari,20.95,72.93,IN,29.87,29.87,29.87,73,96,7.39
Nizwá,22.93,57.53,OM,35.84,35.84,35.84,33,0,2.34
Belūsovka,50.13,82.52,KZ,20.0,20.0,20.0,77,75,2.0
Iberia,29.95,-91.75,US,26.64,26.0,27.0,88,1,3.59
Pandan Niog,6.23,120.56,PH,28.46,28.46,28.46,70,97,2.62
Qandala,11.47,49.87,SO,33.78,33.78,33.78,46,61,2.3
Nāmagiripettai,11.47,78.27,IN,32.0,32.0,32.0,55,20,3.1
Biak,-0.91,122.88,ID,27.38,27.38,27.38,76,61,1.52
Lakeside,30.13,-81.77,US,26.55,26.0,27.22,83,1,2.1
Auki,-8.77,160.7,SB,28.6,28.6,28.6,70,100,1.53
Iralaya,15.0,-83.23,HN,26.73,26.73,26.73,85,63,5.21
Sakakah,29.97,40.21,SA,31.0,31.0,31.0,22,0,2.6
Peniche,39.36,-9.38,PT,17.8,17.22,18.33,84,10,2.24
Santa Maria,-29.68,-53.81,BR,4.47,4.47,4.47,89,0,1.03
Gaoua,10.3,-3.25,BF,22.65,22.65,22.65,91,98,3.31
Libertador General San Martín,-23.81,-64.79,AR,16.67,16.67,16.67,64,99,1.29
Palmares do Sul,-30.26,-50.51,BR,8.32,8.32,8.32,66,0,5.48
Port Macquarie,-31.43,152.92,AU,14.2,14.0,14.44,87,75,8.7
Liverpool,53.41,-2.98,GB,13.61,13.33,14.0,76,75,3.6
Locri,38.24,16.26,IT,24.77,24.0,25.0,83,20,2.6
Banda Aceh,5.56,95.32,ID,29.31,29.31,29.31,71,78,3.05
Port Lincoln,-34.73,135.87,AU,14.41,14.41,14.41,66,0,5.36
Chiradzulu,-15.67,35.14,MW,20.0,20.0,20.0,64,0,1.0
Hukuntsi,-24.0,21.75,BW,2.87,2.87,2.87,94,0,4.17
Kita,13.03,-9.49,ML,21.96,21.96,21.96,90,100,1.52
Khāsh,28.22,61.22,IR,33.82,33.82,33.82,23,0,2.25
Santa Cruz de la Sierra,-17.8,-63.17,BO,21.0,21.0,21.0,88,75,4.1
Diffa,13.32,12.61,NE,28.89,28.89,28.89,57,30,6.84
